Shelter Name,Address,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email,Map Link
New Fountain Shelter,"356 East Hastings Street, Vancouver, BC V6A 1P4",https://www.phs.ca,"Provides year-round, low-barrier, overnight emergency housing for 60 homeless adults age 25 and over from 7 pm to 9 am; shelter for all gender individuals, with a separate space for self-identified women.","Provided by PHS Community Services Society31 other services offered by this agencyProvides year-round, low-barrier, overnight emergency housing for 60 homeless adults age 25 and over from 7 pm to 9 am; shelter for all gender individuals, with a separate space for self-identified women.Provides year-round, low-barrier, overnight emergency housing for 60 homeless adults age 25 and over from 7 pm to 9 am; shelter for all gender individuals, with a separate space for self-identified women. Services include advocacy, information and referral, outreach, and by-donation clothing available from 7 pm to 12 midnight. Other services include a nurse and social worker. Provides dinner, breakfast, and a bagged lunch. Health services include medication storage, home nursing onsite (must be a Downtown Community Health Centre client or not connected with any other clinic) with oxygen tanks permitted. Storage locker space for carts and other belongings is available. Pets are allowed. Priority is given to returning guests; returning clients must show up before 10 pm to keep a bed. Beds are allocated on a first-come, first-served basis and can be done anytime if space allows. Shelter does not keep a waitlist. Wheelchair accessible.",604-669-3306,604-723-5637,info@phs.ca,/result/new-fountain-shelter-9508728
New Hope Centre Emergency Shelter,"New Hope Centre, 19 Nicol Street,Nanaimo, BC V9R 4S6",https://nanaimosa.ca/new-hope-centre,"Provides year-round, 24-hour emergency accommodation in beds for 24 men (cisgender and transgender) ages 19 and up.","Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides year-round, 24-hour emergency accommodation in beds for 24 men (cisgender and transgender) ages 19 and up.Provides year-round, 24-hour emergency accommodation in beds for 24 men (cisgender and transgender) ages 19 and up. Services include meals, showers, laundry, and personal support. Men are connected with a one-to-one caseworker. Pets cannot be accommodated. Storage space is limited. Length of stay in the emergency shelter is 30 days. People may be admitted when intoxicated on condition of respectful behaviour, but cannot use on the premises; violence will not be tolerated. Priority is given to returning guests; curfew is 11 pm. Open referral; intake is from 8 am to 5 pm daily; beds are allocated on a first-come, first-served basis. Opportunity to move to transitional housing for up to one year. Wheelchair accessible. Funded in part by BC Housing.",250-714-1142,N/A,NanaimoNHC.Hope@salvationarmy.ca,/result/new-hope-centre-emergency-shelter-69488921
New Westminster Homeless Shelter,"502 Columbia Street , New Westminster, BC V3L 1B1",https://www.purposesociety.org,Low-barrier shelter providing 40 beds for men and 10 beds for women experiencing homelessness; can accommodate couples as needed.,"Provided by Lower Mainland Purpose Society for Youth and Families30 other services offered by this agencyLow-barrier shelter providing 40 beds for men and 10 beds for women experiencing homelessness; can accommodate couples as needed.Low-barrier shelter providing 40 beds for men and 10 beds for women experiencing homelessness; can accommodate couples as needed. Access to the shelter is on Front Street. Uses a bed reservation system to avoid line-ups. Services include daily meals and referral to health, harm reduction, and other services at Purpose Society’s main building (40 Begbie Street). Shelter hours are 8 pm to 8 am, seven days a week. Storage space is not available. Pets are allowed. Not wheelchair accessible. Funded by BC Housing.",604-375-5792,N/A,mail@purposesociety.org,/result/new-westminster-homeless-shelter-81392084
Nicola Valley Shelter and Support Society,"2038 Nicola Avenue, Merritt, BC V1K 1L8",https://www.nvshelterandsupport.com,Offers services to individuals and families in the Nicola Valley who are homeless or at risk of becoming homeless.,"1 service offered by this service providerOffers services to individuals and families in the Nicola Valley who are homeless or at risk of becoming homeless.Offers services to individuals and families in the Nicola Valley who are homeless or at risk of becoming homeless. Through the Housing First (Reaching Home COVID-19 Emergency Response) program, provides intensive case management and support to marginalized individuals with mental health and/or addiction issues who are chronically homeless or at risk of homelessness. The Endeavor to be Better program offers peer mentorship to support people experiencing challenges involving mental health and/or substance use. Office hours are 8 am to 4 pm Monday to Friday. Nonprofit society.",250-315-0155,N/A,nvsss@shaw.ca,/agency-details/nicola-valley-shelter-and-support-society-53107699
North Shore Housing Centre - Shelter,"705 West 2nd Street, North Vancouver, BC V7M 1E6",https://www.lookoutsociety.ca,The North Shore Shelter is a short-term shelter with up to 45 beds for North Shore adults over 18 years of age who have no other housing options.,"Provided by Lookout Housing and Health Society69 other services offered by this agencyThe North Shore Shelter is a short-term shelter with up to 45 beds for North Shore adults over 18 years of age who have no other housing options.The North Shore Shelter is a short-term shelter with up to 45 beds for North Shore adults over 18 years of age who have no other housing options. 24-hour staff address housing, financial, and mental/physical health and addiction issues through crisis intervention, case planning, and referral/liaison services. Meals are provided. Health-related services include 24-hour access to bed rest (doctor's note required), and administration of medication with prescription. Pets are welcome. Wheelchair accessible. Clients must call first or be referred. Also offers 25 co-located, transitional housing suites for those who are already regular habitants of the shelter; see separate listing for details. The Homeless Outreach Program provides advocacy support, referrals, and housing search assistance for people who are homeless, at risk of becoming homeless, or difficult to house. Serves Bowen Island, District of North Vancouver, City of North Vancouver, and District of West Vancouver. Staff also work collaboratively with other areas as applicable. Office hours are 9 am to 5 pm Monday to Friday. Wheelchair accessible. Funded by BC Housing.",604-982-9126,N/A,nsshelter@lookoutsociety.ca,/result/north-shore-housing-centre-shelter-9506940
North Shore Youth Safe House,No  address available,https://hollyburn-society.ca/youth-homelessness-life-success-wired-4-success-employment-north-shore/safe-house,"Short-term emergency housing and support services for up to four youth of all genders, ages 13 to 18, who may be homeless or needing a break from a stressful family situation (including unsafe and dangerous situations); stay is up to 14 days (which in some cases can be extended) with 24-hour staffing and an enforced housing curfew.","Provided by Hollyburn Family Services16 other services offered by this agencyShort-term emergency housing and support services for up to four youth of all genders, ages 13 to 18, who may be homeless or needing a break from a stressful family situation (including unsafe and dangerous situations); stay is up to 14 days (which in some cases can be extended) with 24-hour staffing and an enforced housing curfew.Short-term emergency housing and support services for up to four youth of all genders, ages 13 to 18, who may be homeless or needing a break from a stressful family situation (including unsafe and dangerous situations); stay is up to 14 days (which in some cases can be extended) with 24-hour staffing and an enforced housing curfew. Includes nutritious meals, shared rooms, showers, and laundry facilities. Services also include counselling, family mediation, information and referral, clothing, bus tickets for appointments, and help with income assistance, youth agreements, and educational opportunities. After-care support is also provided with the aim to help youth return to their home safely or to an alternate living environment. Accepts referral from self or other, though does not accept youth who are using drugs or alcohol, detoxing or have severe mental health issues; youth must be able to care for themselves and not be a risk to themselves or others. Not wheelchair accessible; cannot accommodate pets. Serves youth from the North Shore and Sea-to-Sky areas, and elsewhere if beds are available.",604-924-8005,1-877-78YOUTH (1-877-789-6884),nsysh@hollyburnsociety.ca,/result/north-shore-youth-safe-house-29783204
Northern Centre of Hope Emergency Shelter,"9824 99th Avenue, Fort St John, BC V1J 5A5",https://www.safsj.org,"A year-round, 24-hour emergency shelter with up to 30 beds for adults age 19 and older of any gender.","Provided by The Salvation Army - BC Division221 other services offered by this agencyA year-round, 24-hour emergency shelter with up to 30 beds for adults age 19 and older of any gender.A year-round, 24-hour emergency shelter with up to 30 beds for adults age 19 and older of any gender. Services include three meals per day, laundry facilities, lockers, referrals, advocacy, and outreach. Maximum length of stay for beds is determined on a case-by-case basis. No alcohol or drug use or smoking allowed inside the building. Pets can be accommodated on a case-by-case situation. No storage of bikes or carts inside, but they can be locked to a bike shed outside. Wheelchair accessible. Funded by BC Housing.",250-785-0372,N/A,erin.ferris@salvationarmy.ca,/result/northern-centre-of-hope-emergency-shelter-9510269
Older Adults Shelter,"Central Heights Church, 1661 McCallum Rd,Abbotsford, BC V2S 3M4",N/A,Year-round emergency 18-bed shelter for older adults of any gender.,"Provided by Sparrow Community Care SocietyYear-round emergency 18-bed shelter for older adults of any gender.Year-round emergency 18-bed shelter for older adults of any gender. Staffed 24 hours. No pets; not wheelchair accessible. No alcohol or drug use on site; accepts inebriated individuals on condition of respectful behaviour. Provides three meals per day, showers, access to laundry, and personal hygiene supplies. Must be able to use bathroom independently. Must manage own medication and bathing, or arrange for supports through home health. Provides rides for doctor appointments.",604-991-6937,N/A,N/A,/result/older-adults-shelter-88374147
Olive Branch Transitional Shelter,"10732 City Parkway, Surrey, BC V3T 4C7",https://www.sumsplace.ca/shelters,Emergency shelter space for those transitioning into recovery or permanent housing includes 44 beds separated into three dorms with 35 beds for males and nine beds for females.,"Provided by Surrey Urban Mission Society (SUMS)13 other services offered by this agencyEmergency shelter space for those transitioning into recovery or permanent housing includes 44 beds separated into three dorms with 35 beds for males and nine beds for females.Emergency shelter space for those transitioning into recovery or permanent housing includes 44 beds separated into three dorms with 35 beds for males and nine beds for females. Services include meals, laundry, and showers, and access to shelter support services, and overdose prevention site, and a Managed Alcohol Program (MAP). Pets are allowed. No storage space available for carts, bicycles, or belongings. Wheelchair accessible. Intake through Surrey Welcome Hub at 13545 King George Boulevard. Optimum time to call regarding availability of space is 8:30 am to 4:30 pm Monday to Friday.",604-585-0259,604-585-1023,info@sumsplace.ca,/result/olive-branch-transitional-shelter-70563401
Our Place Community Center - Overnight Shelter,"919 Pandora Avenue, Victoria, BC V8V 3P4",https://www.ourplacesociety.com/how-we-help/housing,"Overnight year-round shelter that can accommodate 34 adults, age 19 and older of any gender; operates from 7:30 pm to 6:20 am daily.","Provided by Our Place Society14 other services offered by this agencyOvernight year-round shelter that can accommodate 34 adults, age 19 and older of any gender; operates from 7:30 pm to 6:20 am daily.Overnight year-round shelter that can accommodate 34 adults, age 19 and older of any gender; operates from 7:30 pm to 6:20 am daily. For intake, call or sign up in person starting at 7 am for that night at the front desk. Clients must arrive no later than 8:30 pm to confirm that a space is available. After 8:30 pm available beds will be assigned on a first-come, first-served basis to individuals who are on the waitlist. Clients will have secure beds for the next night if they do not lapse in attendance. Sandwiches are available in the evening, and coffee and tea and snacks in the morning. No pets allowed. Wheelchair accessible.",250-388-7112 Local 1222,N/A,housingprogram@ourplacesociety.com,/result/our-place-community-center-overnight-shelter-53438958
Out of the Rain Youth Shelter (OOTR),"1450 Elford Street, Victoria, BC V8S 3S8",https:// www.beaconcs.ca,"Year-round, low barrier emergency shelter providing 15 beds for homeless youth of all genders, ages 15 to 25.","Provided by Beacon Community Services46 other services offered by this agencyYear-round, low barrier emergency shelter providing 15 beds for homeless youth of all genders, ages 15 to 25.Year-round, low barrier emergency shelter providing 15 beds for homeless youth of all genders, ages 15 to 25. Staff can provide information and community referrals to other support services. Hours are 8:30 pm to 7:30 am seven days a week, with an 2 am curfew. An evening meal and cold breakfast to go provided. Pets accepted, if well behaved. Wheelchair accessible.",250-415-3856,250-415-9469,outoftherain@beaconcs.ca,/result/out-of-the-rain-youth-shelter-ootr-9507322
Parkway Shelter,"10666 City Park Way, Surrey, BC V3T 4C7",N/A,"A low-barrier, shelter for homeless adults; 28 beds for men, and 12 mats for women.","Provided by Lookout Housing and Health Society69 other services offered by this agencyA low-barrier, shelter for homeless adults; 28 beds for men, and 12 mats for women.A low-barrier, shelter for homeless adults; 28 beds for men, and 12 mats for women. Operates in conjunction with the The Front Room, a 24-hour drop-in resource centre. Provides laundry, showers, and meals. Pets are welcome. Wheelchair accessible. No shopping carts. Operated in partnership with and funded by BC Housing.",604-582-0408,N/A,parkway@lookoutsociety.ca,/result/parkway-shelter-44865460
Pathways Emergency Shelter,"46130 Margaret Avenue, Chilliwack, BC V2P 6J4",https://www.ranmission.ca ,Offers overnight emergency shelter on mats to 45 adults ages 19 and over.,"Provided by Ruth and Naomi’s (RAN) Mission6 other services offered by this agencyOffers overnight emergency shelter on mats to 45 adults ages 19 and over.Offers overnight emergency shelter on mats to 45 adults ages 19 and over. Services include daily meals at 8 am, 12 noon, and 6 pm; clothing; access to showers and laundry; and referrals to community services. Offers an Opioid Prevention Service (OPS) in a room for people smoking or injecting hard drugs; the building is otherwise alcohol/drug free. Marijuana or tobacco cigarettes can be smoked in the outside smoking area. Check-in starts at 8:30 pm; mats are allocated on a first-come, first-serve basis. Shelter operates 24 hours, but guests are asked not to go in and out between 11:30 pm and 7:30 am. Locked storage space for bicycles is available. Wheelchair accessible. No pets allowed. Referrals accepted from self or other.",604-795-2322 Local 401,N/A,info@ruthandnaomis.ca,/result/pathways-emergency-shelter-59769818
Pearl's Place Transition House,No  address available,https://pearlspace.ca/program/safe-housing-options,"Provides temporary emergency shelter for women, nonbinary, two-spirit, and transgender people with or without children, who are fleeing family violence or experiencing homelessness; will accept children up to age 18.","Provided by PearlSpace10 other services offered by this agencyProvides temporary emergency shelter for women, nonbinary, two-spirit, and transgender people with or without children, who are fleeing family violence or experiencing homelessness; will accept children up to age 18.Provides temporary emergency shelter for women, nonbinary, two-spirit, and transgender people with or without children, who are fleeing family violence or experiencing homelessness; will accept children up to age 18. Operates a 24-hour crisis line. Provides crisis support, safety planning, and assisted access to financial assistance, housing, employment, and legal aid. May be able to accommodate a pet depending on space available. Wheelchair accessible. Serves the Sea to Sky corridor which includes Lion's Bay, Mount Currie, Squamish, and Whistler, Pemberton, and the Nations of N’Quatqua, Samahquam, Lil’wat, Skatin, Xa’xtsa, and Squamish. Funded by BC Housing.",604-892-5711,1-877-890-5711,pearlsplace@hswc.ca,/result/pearls-place-transition-house-9493031
Penny's Place (Emergency Shelter),No  address available,https://www.saraforwomen.ca/housing-shelter,"Low-barrier, first-stage housing program in Abbotsford for adult women (cis women) who may be active in substance use, experiencing mental health concerns, and/or be street engaged.","Provided by SARA for Women22 other services offered by this agencyLow-barrier, first-stage housing program in Abbotsford for adult women (cis women) who may be active in substance use, experiencing mental health concerns, and/or be street engaged.Low-barrier, first-stage housing program in Abbotsford for adult women (cis women) who may be active in substance use, experiencing mental health concerns, and/or be street engaged. Each resident shares a bedroom as well as shares common areas of the house. The house is staffed 24/7 with support workers. Meals and snacks are included daily. Personal care items, shower, laundry, advocacy, case planning, harm reduction supplies, internet and telephone are available on site. Women do not have to be alcohol- and drug-free to live in the house, although no drug use is allowed in the house or on the property. Does not accept children. Housing fee is the shelter allowance allocated by income assistance. Not wheelchair accessible. Also operates as an extreme weather response overnight shelter between November 1st and March 31st when weather is extreme and a community alert is called.",604-746-3301,236-668-2590,N/A,/result/pennys-place-emergency-shelter-9507600
Pidcock House,"632 Pidcock Avenue, Courtenay, BC V9N 3E3",https://www.salvationarmy.ca,"Low-barrier, emergency shelter for adults ages 19 and older of any gender offering 24 male beds and six female beds.","Provided by The Salvation Army - BC Division221 other services offered by this agencyLow-barrier, emergency shelter for adults ages 19 and older of any gender offering 24 male beds and six female beds.Low-barrier, emergency shelter for adults ages 19 and older of any gender offering 24 male beds and six female beds. Provides showers, laundry, meals, and referral to other services in the community. Accommodates pets. Not wheelchair accessible. Provides locked space for bikes and carts, and personal effects can be stored in closets. No maximum stay when residents are working with a case manager. Also offers six transition units to support three men and three women in need as they search for stable housing. Shelter operates 24 hours a day, seven days a week; curfew is 10 pm daily. Funded by BC Housing.",250-338-2533,N/A,N/A,/result/pidcock-house-9491474
Port Alberni Friendship Center Shelter,"Main Floor, 3939 8th Avenue, Port Alberni, BC V9Y 0C6",N/A,Emergency shelter with 35 beds for males and females age 19 and over of any gender.,"Provided by Port Alberni Friendship Center13 other services offered by this agencyEmergency shelter with 35 beds for males and females age 19 and over of any gender.Emergency shelter with 35 beds for males and females age 19 and over of any gender. Shelter operates 24 hours a day, and offers meals, shower, and laundry facilities. Intake is between 4 pm to 5 pm daily; can reserve a bed for the following night. Individuals from out of town can be accommodated if there is space available. Pets are accommodated on a case-by-case basis. Wheelchair accessible. Funded by BC Housing.",250-723-8281 Local 224,N/A,shelter@pafriendshipcenter.com,/result/port-alberni-friendship-center-shelter-9509577
Powell Place Emergency Shelter for Women,"329 Powell Street, Vancouver, BC V6A 1G5",https://www.thebloomgroup.org/powellplace,"Provides year-round low-barrier, 24-hour emergency shelter for 52 self-identified women experiencing, or at risk of homelessness.","Provided by The Bloom Group13 other services offered by this agencyProvides year-round low-barrier, 24-hour emergency shelter for 52 self-identified women experiencing, or at risk of homelessness.Provides year-round low-barrier, 24-hour emergency shelter for 52 self-identified women experiencing, or at risk of homelessness. Women are supported in retaining their autonomy, regaining their independence, and building skills to move forward in life. Services include three meals per day, one-on-one support and advocacy, crisis intervention, referrals, housing search assistance, and accompaniment to appointments. Referral accepted from self or other. Does not accept pets. Not wheelchair accessible.",604-813-1227,604-606-0351,powellplace@thebloomgroup.org,/result/powell-place-emergency-shelter-for-women-9492907
Progressive Housing Society Emergency Shelter,"2294 Douglas Road, Burnaby, BC V5C 5A7",https://www.progressivehousing.net/service/emergency-shelter,"24-hour, year-round shelter provides 40 emergency shelter beds for homeless adults, with priority given to Burnaby residents.","Provided by Progressive Housing Society7 other services offered by this agency24-hour, year-round shelter provides 40 emergency shelter beds for homeless adults, with priority given to Burnaby residents.24-hour, year-round shelter provides 40 emergency shelter beds for homeless adults, with priority given to Burnaby residents. Accepts all genders; accommodation in male and female dorms. Intake is between 10 am and 10 pm on a first-come, first-served basis. Services include two daily meals and connection to counselling, health, and permanent long-term housing. Small storage lockers are available. Pets are accepted. Not wheelchair accessible. Funded by City of Burnaby and by BC Housing.",604-522-9669 Local 2,N/A,info@progressivehousing.net,/result/progressive-housing-society-emergency-shelter-64048562
Reconnect Youth Village,"171 George Street, Prince George, BC V2L 1P8",https://www.pgnfc.com,"Provides six temporary emergency beds for youth who have no safe place to stay, as well as daily programming and outreach services to Aboriginal and non-Aboriginal youth up to age 19; open to all genders.","Provided by Prince George Native Friendship Centre (PGNFC)28 other services offered by this agencyProvides six temporary emergency beds for youth who have no safe place to stay, as well as daily programming and outreach services to Aboriginal and non-Aboriginal youth up to age 19; open to all genders.Provides six temporary emergency beds for youth who have no safe place to stay, as well as daily programming and outreach services to Aboriginal and non-Aboriginal youth up to age 19; open to all genders. A 24-hour drop-in centre is available onsite with meals and other support services, including positive role modeling and programs that promote wellness, self-esteem, communication, life skills, employment, and interpersonal skills. Also offers recreational activities. Outreach workers assist youth in meeting their short-term/long-term needs, refer to community resources, provide advocacy support, and empower youth to make healthy decisions. All programs are offered in a culturally holistic environment with the support of Elders. Centre is not wheelchair accessible.",250-562-2538,N/A,reconnect@pgnfc.com,/result/reconnect-youth-village-9503318
Revive Shelter,"46130 Margaret Avenue, Chilliwack, BC V2P 6J4",https://www.ranmission.ca ,"A shelter for up to 44 individuals age 19 and over who may struggle with homelessness, mental health, and addiction issues.","Provided by Ruth and Naomi’s (RAN) Mission6 other services offered by this agencyA shelter for up to 44 individuals age 19 and over who may struggle with homelessness, mental health, and addiction issues.A shelter for up to 44 individuals age 19 and over who may struggle with homelessness, mental health, and addiction issues. Services include daily meals at 8 am, 12 noon, and 6 pm; clothing; access to showers and laundry; and referrals to community services. Locked storage space for bicycles is available. Pets are not allowed. Bed checks are conducted daily; guests are expected to maintain cleanliness in their space. Offers an Opioid Prevention Service (OPS) in a room for people smoking or injecting hard drugs; the building is otherwise alcohol/drug free. Marijuana or tobacco cigarettes can be smoked in the outside smoking area. Guests are asked not to go in and out between 11:30 pm and 7:30 am. Residents may lose their bed if they don't return for three days. Wheelchair accessible. Referral accepted from self or other.",604-795-2322 Local 810,N/A,info@ruthandnaomis.ca,/result/revive-shelter-83214691
Richmond House Emergency Shelter,"12040 Horseshoe Way, Richmond, BC V7A 4V5",https://salvationarmyrichmond.org/our-ministries/richmond-house-emergency-shelter,"Year-round, 24-hour, minimal barrier emergency shelter providing 20 beds for homeless men and 10 beds for homeless women; includes transgender individuals.","Provided by The Salvation Army - BC Division221 other services offered by this agencyYear-round, 24-hour, minimal barrier emergency shelter providing 20 beds for homeless men and 10 beds for homeless women; includes transgender individuals.Year-round, 24-hour, minimal barrier emergency shelter providing 20 beds for homeless men and 10 beds for homeless women; includes transgender individuals. Priority is given to Richmond residents. Includes three meals per day plus shower and laundry facilities. Support services include access to life skills training, employment programs, counselling, and information and referral to other social services and community resources. People may be admitted when intoxicated, but cannot use on the premises. Accepts inebriated individuals on condition of respectful behaviour. Storage space for carts and belongings is available. Wheelchair accessible. Also operates an extreme weather response overnight shelter between October 1st and March 31st when weather is extreme and a community alert is called. Funded by BC Housing and by City of Richmond.",604-276-2490,N/A,rhshelter@shaw.ca,/result/richmond-house-emergency-shelter-63425031
Richter Street Shelter Kelowna,"1083 Richter Street, Kelowna, BC V1Y 2K6",https://www.turningpoints.ngo/continuum-of-care/shelter,"48-bed, all-gender inclusive 24-hour shelter provides temporary housing for adults experiencing homelessness or housing insecurity.","Provided by Turning Points Collaborative Society27 other services offered by this agency48-bed, all-gender inclusive 24-hour shelter provides temporary housing for adults experiencing homelessness or housing insecurity.48-bed, all-gender inclusive 24-hour shelter provides temporary housing for adults experiencing homelessness or housing insecurity. Provides guests with meal services, showers, laundry, lockers (except no space for shopping carts), access to social workers, referrals to community services, and harm reduction services including an overdose prevention site (OPS). Wheelchair accessible except for the outdoor OPS. Accepts friendly and neutered dogs and cats. Use of substances in designated area only. In-person registration is at 10 am, 4 pm, and 9 pm daily, with beds available on a first-come, first-served basis. Funded by BC Housing.",778-212-1401,N/A,vanessa.kreway@turningpoints.ngo,/result/richter-street-shelter-kelowna-71258628
Ridge Meadows Emergency Shelter,"22188 Lougheed Highway, Maple Ridge, BC V2X 2S8",https://www.ridgemeadowssa.ca,Provides 55 low-barrier shelter beds for adults ages 19 and older of any gender.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides 55 low-barrier shelter beds for adults ages 19 and older of any gender.Provides 55 low-barrier shelter beds for adults ages 19 and older of any gender. Sleeping area is divided into designated male and female dorms. Common areas are co-ed; couples cannot stay in the same room. Services include meals, showers, laundry facilities, clothing, personal hygiene products, and storage. Health-related services include medication storage, and nurse practitioner on site twice per week. Pets are welcome but must fit in a crate that is provided. Accepts people under the influence of drugs or alcohol, but no use on the premises. Intake starts at 1 pm on a first-come, first-served basis and until 5 am if space is available. Initial stay is seven nights; individuals who are meeting with a caseworker and following a set plan can extend their stay. Shelter area downstairs is wheelchair accessible.Operates as a seasonal Warming Centre where people living outside can take refuge during cold weather. Runs from November 1, 2023 to April 30, 2024. Hours are 10 am to 5:30 pm daily.",604-463-8296 Local 102,N/A,N/A,/result/ridge-meadows-emergency-shelter-9491639
Ridge Meadows Ministries -  Temporary Winter Shelter,"Ridge Church, 22155 Lougheed Highway,Maple Ridge, BC V2X 5V3",https://ridgemeadowssa.ca,Provides seasonal low-barrier overnight emergency shelter on mats for 30 adults between November 1 and April 30.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides seasonal low-barrier overnight emergency shelter on mats for 30 adults between November 1 and April 30.Provides seasonal low-barrier overnight emergency shelter on mats for 30 adults between November 1 and April 30. Check-in begins at 9 pm, on a first-come, first-served basis (intake can be done all night if there is space available). Shelter is open 9 pm to 7 am daily. Services include a hot evening meal and breakfast in the morning. Accepts pets. Cart and bicycle storage is available. Wheelchair accessible.",604-463-8296 Local 102,N/A,N/A,/result/ridge-meadows-ministries-temporary-winter-shelter-9493157
Rock Bay Landing Emergency Shelter,"535 Ellice Street, Victoria, BC V8T 2G8",https://www.coolaid.org/rbl,24-hour emergency shelter with 84 shelter beds for people of any gender.,"Provided by Victoria Cool Aid Society25 other services offered by this agency24-hour emergency shelter with 84 shelter beds for people of any gender.24-hour emergency shelter with 84 shelter beds for people of any gender. Provides meals, shower and laundry facilities, crisis counselling, training workshops, computer access, and referral to community services. Separate men's and women's sleeping spaces; a separate room may be available for transgender individuals on a case-by-case basis. Homeless Outreach Worker provides housing needs assessments as well as assistance obtaining identification and income assistance. Connects individuals to housing options by providing support with the application, move-in process, rent supplement applications, appointments and/or housing viewings, and liaison with landlords. Provides links to culturally appropriate services, as well as referrals to other support such as health care, counselling, and addiction recovery services. Overdose prevention site and inhalation tent provide a place where people who use drugs can be safely monitored and treated immediately if they overdose; drug use is not allowed on the premises. Offers storage for shopping carts and bicycles. Accepts pets. Intake is on a first-come, first-served basis; priority is given to new guests. Last intake is at 11 pm; clients are encouraged to call before 3 pm to inquire about space availability. Referral accepted from self or other. Wheelchair accessible. During the winter season, offers an additional 20 mats nightly. Funded by BC Housing.",250-383-1951,250-388-5251,rbl@coolaid.org,/result/rock-bay-landing-emergency-shelter-9507832
Rosewood Program,No  address available,N/A,A low-barrier emergency shelter for 60 homeless  women (cisgender and transgender) age 19 and over with or without children of all genders up to age 18.,"Provided by Elizabeth Fry Society of Greater Vancouver28 other services offered by this agencyA low-barrier emergency shelter for 60 homeless  women (cisgender and transgender) age 19 and over with or without children of all genders up to age 18.A low-barrier emergency shelter for 60 homeless  women (cisgender and transgender) age 19 and over with or without children of all genders up to age 18. Services include meals/snacks, access to a food bank, shower and laundry facilities, personal hygiene products, clothing, and first aid/wound care. Other services include information and referral, advocacy, access to local calling, Ministry income assistance, housing search assistance and support (including a rental subsidy), as well as law clinic support, and clinical counselling. May offer court outreach. Health-related services include 24-hour access to bed rest, medication management/storage and oxygen tank storage as prescribed. Pets are not allowed and there are no storage capabilities. Individuals may be admitted when intoxicated on condition of respectful behaviour, and if they can complete and understand the intake process. Zero tolerance for drugs and alcohol on the property. Violence will not be tolerated. Referral accepted from self or other 24 hours per day. Shelter hours are open 24 hours, seven days a week. Maximum stay is 90 days. Shelter is wheelchair accessible. Funded by BC Housing.",604-589-5337,N/A,N/A,/result/rosewood-program-81924893
Russell Housing Centre,"740 Carnarvon Street, New Westminster, BC V3M 1E7",N/A,"A year-round, minimal barrier shelter for up to 15 men, age 19 and older; beds are in a dorm.","Provided by Lookout Housing and Health Society69 other services offered by this agencyA year-round, minimal barrier shelter for up to 15 men, age 19 and older; beds are in a dorm.A year-round, minimal barrier shelter for up to 15 men, age 19 and older; beds are in a dorm. Offers meals and information and referral. Shower and laundry facilities are available, as well as storage of three items. Health-related services include medication management, home care through referral, and oxygen tank storage. Accepts pets. Shelter is not wheelchair accessible. 24-hour intake; office hours are 9 am to 5 pm Monday to Friday. Funded by BC Housing.",604-529-9126 Local 101,N/A,lookoutnewwest@lookoutsociety.ca,/result/russell-housing-centre-9507103
Safe Stay Shelter,"2320 78th Avenue, Grand Forks, BC V0H 1H2",https://www.boundaryfamily.org,Year-round shelter provides 15 beds to individuals of any gender ages 19 and over.,"Provided by Boundary Family Services17 other services offered by this agencyYear-round shelter provides 15 beds to individuals of any gender ages 19 and over.Year-round shelter provides 15 beds to individuals of any gender ages 19 and over. Support services include meals and snacks, clothing, shower and laundry facilities, and information and referral to community resources. Blankets are provided for turnaways. Storage space is available for carts and personal belongings. Wheelchair accessible. Can accommodate one pet per intake. A designated smoking and safe use area is available for guests. Advocacy for clients is provided through Legal Services Society, counselling available through partnership with Interior Health, and mental health and substance use supports also available through community partners. Mobile outreach services are offered to street camps and street-level clients. Shelter is staffed 24 hours per day, seven days per week. Intake is from 3 pm to 10 pm, seven days a week. Accepts walk-ins. Funded by BC Housing.",236-352-0026,N/A,info@bfiss.org,/result/safe-stay-shelter-76274009
