Shelter Name,Service Provider,Address,Clean Address,Postal Code,Latitude,Longitude,Google Maps Link,Google Directions Link,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email
Marshlands Shelter,Canadian Mental Health Association (CMHA) - Shuswap Revelstoke Branch,"341 Fraser Avenue, Salmon Arm, BC V1E 1W3","341 Fraser Avenue, Salmon Arm, BC",V1E 1W3,50.7019134,-119.2897519,"https://www.google.com/maps/search/?api=1&query=341+Fraser+Avenue,+Salmon+Arm,+BC+V1E+1W3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=341+Fraser+Avenue,+Salmon+Arm,+BC+V1E+1W3",https://shuswap-revelstoke.cmha.bc.ca,"Provides year-round, low-barrier, 24-hour emergency shelter in dorm rooms for 25 homeless adults.","Provides year-round, low-barrier, 24-hour emergency shelter in dorm rooms for 25 homeless adults. Provides access to daily meals, showers, laundry facilities, and a wellness circle. Storage space for belongings is available. Harm reduction focus; overdose prevention sites provide a place where people who use drugs can be safely monitored and treated immediately if they overdose. Intake is from 4 pm to 10:30 pm. Beds are allocated on a first come, first served basis. Open referral. Funded by BC Housing.",250-832-8477,N/A,info.sr@cmha.bc.ca
Merit Place Shelter,Canadian Mental Health Association (CMHA) - Kamloops Branch,"725 Notre Dame Drive, Kamloops, BC V2C 5N8","725 Notre Dame Drive, Kamloops, BC",V2C 5N8,50.6628495,-120.3505559,"https://www.google.com/maps/search/?api=1&query=725+Notre+Dame+Drive,+Kamloops,+BC+V2C+5N8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=725+Notre+Dame+Drive,+Kamloops,+BC+V2C+5N8",https://www.kamloops.cmha.bc.ca,"Provides year-round, low-barrier, 24-hour emergency shelter in pods for 49 homeless adults of any gender.","Provides year-round, low-barrier, 24-hour emergency shelter in pods for 49 homeless adults of any gender. Services include meals, laundry facilities, life skills support, psychosocial support, and recovery-based support. Health-related services include medication management, nursing support, wound care, physician and psychiatrist referrals, case management, ACT (assertive community team) support, referral to community services, and other support services tailored to individual needs. Storage space for bicycles is available. Can accept one pet at a time. Not wheelchair accessible. Harm reduction focus; overdose prevention site provides a place where people who use drugs can be safely monitored and treated immediately if they overdose. No prescribed maximum stay. Beds are allocated on a first-come, first-served basis at 9:30 pm curfew. Intake is 24 hours; administration hours are 9 am to 4 pm Monday to Friday. Also operates an extreme weather response shelter between November 1st and March 31st when weather is extreme. Funded by BC Housing, Interior Health, and the City of Kamloops.",236-425-0341,N/A,meritplace.shelter@cmha.bc.ca
Metson Shelter,Community Builders Group,"1060 Howe Street, Vancouver, BC V6Z 1P5","1060 Howe Street, Vancouver, BC",V6Z 1P5,49.27919315,-123.1246923060817,"https://www.google.com/maps/search/?api=1&query=1060+Howe+Street,+Vancouver,+BC+V6Z+1P5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1060+Howe+Street,+Vancouver,+BC+V6Z+1P5",https://communitybuilders.ca/our-sites/metson-rooms,Low-barrier shelter provides 38 beds in dorm rooms for homeless adults of all genders age 19 and older.,"Low-barrier shelter provides 38 beds in dorm rooms for homeless adults of all genders age 19 and older. Services include meals and snacks, showers, and laundry facilities. Intake hours are 11 am to 4 pm Monday to Friday. Pets are allowed on a leash or in a cage. Shopping carts can be accommodated. Partially accessible, as this is a mat program; no supports. Open 24 hours a day, seven days a week.",604-428-3686,N/A,metson@communitybuilders.ca
Moira House,Canadian Mental Health Association (CMHA) - Kamloops Branch,"600 Kingston Avenue, Kamloops, BC V2B 2C8","600 Kingston Avenue, Kamloops, BC",V2B 2C8,50.712159,-120.356774,"https://www.google.com/maps/search/?api=1&query=600+Kingston+Avenue,+Kamloops,+BC+V2B+2C8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=600+Kingston+Avenue,+Kamloops,+BC+V2B+2C8",https://www.kamloops.cmha.bc.ca,"Provides year-round, 24-hour recovery-focused emergency shelter in single room occupancy units for 41 homeless adults of any gender.","Provides year-round, 24-hour recovery-focused emergency shelter in single room occupancy units for 41 homeless adults of any gender. Services include daily warm meals, showers, laundry facilities, personal hygiene products, clothing, first aid, and access to local calling. Other services include advocacy, referral, follow-up, crisis counselling, case planning, and wellness and life skills development. Health-related services include 24-access to bed rest, medication storage, access to nursing support through referral to external services, home care through referral to external services, and other services. Storage space is not available. Pets are allowed. Accepts inebriated individuals on condition of respectful behaviour. Violence will not be tolerated. Smoking permitted in designated areas. Referral accepted from self or other. No prescribed maximum stay. Wheelchair accessible. Funded by BC Housing.",250-312-2954,N/A,moira.house@cmhakamloops.ca
Multicultural Helping House Society (MHHS),N/A,"4802 Fraser Street, Vancouver, BC V5V 4H4","4802 Fraser Street, Vancouver, BC",V5V 4H4,49.2485178,-123.0901486,"https://www.google.com/maps/search/?api=1&query=4802+Fraser+Street,+Vancouver,+BC+V5V+4H4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=4802+Fraser+Street,+Vancouver,+BC+V5V+4H4",https://www.helpinghouse.org,Aims to help newcomers succeed in Canada.,"Aims to help newcomers succeed in Canada. Helps immigrants and refugees from diverse ethnic and socio-economic backgrounds by providing educational, social, emotional, economic, and other support services. Services include information and referral, settlement services, parenting and leadership skills training, advocacy, online and in-person programs for youth and seniors, cultural activities, volunteer placement, and a tax clinic. Provides emergency housing for live-in caregivers in crisis and transient new immigrants (such as foreign workers) of all genders for a few days while they look for housing. Crisis financial assistance may be available for live-in caregivers and seniors. Services are offered in multiple languages: Cantonese, Farsi, Filipino, Hindi, Ibanag, Ilocano, Kapampangan, Pangasinan, Punjabi, Russian, Spanish, Tagalog, Visaya. Also offers a seniors program with digital literacy and community engagement activities at the office, every Saturday from 1:30pm to 3:30pm. Office and program hours are 9 am to 5 pm Monday to Friday. Nonprofit society, registered charity.",604-359-1809,N/A,info@helpinghouse.org
Nawican Emergency Homeless Shelter,Dawson Creek Nawican Friendship Centre,"1401 102nd Avenue, Dawson Creek, BC V1G 2E2","1401 102nd Avenue, Dawson Creek, BC",V1G 2E2,,,"https://www.google.com/maps/search/?api=1&query=1401+102nd+Avenue,+Dawson+Creek,+BC+V1G+2E2","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1401+102nd+Avenue,+Dawson+Creek,+BC+V1G+2E2",https://nawican.ca,"Provides year-round, low-barrier overnight emergency housing in men's and women's dormitories for 17 homeless adults, including transgender individuals.","Provides year-round, low-barrier overnight emergency housing in men's and women's dormitories for 17 homeless adults, including transgender individuals. Services include hot meals, snacks and coffee, showers, laundry facilities, access to computers and internet, personal hygiene products, clothing, first aid, advocacy, transportation, and referrals to mental health and/or addiction resources. Harm reduction focus; accepts inebriated individuals on condition of respectful behaviour. Provides opioid users with free Take Home Naloxone Kits (Narcan) that can be used to reverse the effects of overdoses from opioids like fentanyl, heroin, methadone, morphine, and oxycodone. Storage lockers are available. Pets are not allowed. Shelter and intake hours are 4:30 pm to 9:30 pm daily; beds are allocated on a first-come, first-served basis. Clients can call ahead or check in at the shelter by 10 pm for bed availability. Curfew is 10:30 pm; clients who have completed intake are encouraged to be at the shelter by curfew or their bed may be given away. If there are no beds available or the client cannot be accepted due to safety or health concerns, the shelter will assist them in finding a safe alternative, arranging transportation, or contacting the hospital. Referral accepted from self or other. Maximum stay is 14 days. Also provides a warming space during extreme weather where people living outside can take refuge from the cold. Shelter is wheelchair accessible.",778-843-1722,250-782-5202,nfcehs@nawican.ca
New Fountain Shelter,PHS Community Services Society,"356 East Hastings Street, Vancouver, BC V6A 1P4","356 East Hastings Street, Vancouver, BC",V6A 1P4,49.281054999999995,-123.09614453469634,"https://www.google.com/maps/search/?api=1&query=356+East+Hastings+Street,+Vancouver,+BC+V6A+1P4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=356+East+Hastings+Street,+Vancouver,+BC+V6A+1P4",https://www.phs.ca,"Provides year-round, low-barrier, overnight emergency housing for 60 homeless adults age 25 and over from 7 pm to 9 am; shelter for all gender individuals, with a separate space for self-identified women.","Provides year-round, low-barrier, overnight emergency housing for 60 homeless adults age 25 and over from 7 pm to 9 am; shelter for all gender individuals, with a separate space for self-identified women. Services include advocacy, information and referral, outreach, and by-donation clothing available from 7 pm to 12 midnight. Other services include a nurse and social worker. Provides dinner, breakfast, and a bagged lunch. Health services include medication storage, home nursing onsite (must be a Downtown Community Health Centre client or not connected with any other clinic) with oxygen tanks permitted. Storage locker space for carts and other belongings is available. Pets are allowed. Priority is given to returning guests; returning clients must show up before 10 pm to keep a bed. Beds are allocated on a first-come, first-served basis and can be done anytime if space allows. Shelter does not keep a waitlist. Wheelchair accessible.",604-669-3306,604-723-5637,info@phs.ca
New Hope Centre Emergency Shelter,The Salvation Army - BC Division,"New Hope Centre, 19 Nicol Street,Nanaimo, BC V9R 4S6","19 Nicol Street,Nanaimo, BC",V9R 4S6,49.1628239,-123.9339641,"https://www.google.com/maps/search/?api=1&query=New+Hope+Centre,+19+Nicol+Street,Nanaimo,+BC+V9R+4S6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=New+Hope+Centre,+19+Nicol+Street,Nanaimo,+BC+V9R+4S6",https://www.NanaimoNewHope.ca,"Provides year-round, 24-hour emergency accommodation in beds for 24 men (cisgender and transgender) ages 19 and up.","Provides year-round, 24-hour emergency accommodation in beds for 24 men (cisgender and transgender) ages 19 and up. Services include meals, showers, laundry, and personal support. Men are connected with a one-to-one caseworker. Pets cannot be accommodated. Storage space is limited. Length of stay in the emergency shelter is 30 days. People may be admitted when intoxicated on condition of respectful behaviour, but cannot use on the premises; violence will not be tolerated. Priority is given to returning guests; curfew is 11 pm. Open referral; intake is from 8 am to 5 pm daily; beds are allocated on a first-come, first-served basis. Opportunity to move to transitional housing for up to one year. Wheelchair accessible. Funded in part by BC Housing.",250-714-1142,N/A,NanaimoNHC.Hope@salvationarmy.ca
New Westminster Homeless Shelter,Lower Mainland Purpose Society for Youth and Families,"502 Columbia Street , New Westminster, BC V3L 1B1","502 Columbia Street , New Westminster, BC",V3L 1B1,49.2038033,-122.906336,"https://www.google.com/maps/search/?api=1&query=502+Columbia+Street+,+New+Westminster,+BC+V3L+1B1","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=502+Columbia+Street+,+New+Westminster,+BC+V3L+1B1",https://www.purposesociety.org,Low-barrier shelter providing 40 beds for men and 10 beds for women experiencing homelessness; can accommodate couples as needed.,"Low-barrier shelter providing 40 beds for men and 10 beds for women experiencing homelessness; can accommodate couples as needed. Access to the shelter is on Front Street. Uses a bed reservation system to avoid line-ups. Services include daily meals and referral to health, harm reduction, and other services at Purpose Society’s main building (40 Begbie Street). Shelter hours are 8 pm to 8 am, seven days a week. Storage space is not available. Pets are allowed. Not wheelchair accessible. Funded by BC Housing.",604-375-5792,N/A,mail@purposesociety.org
Nicola Valley Shelter and Support Society,N/A,"2038 Nicola Avenue, Merritt, BC V1K 1L8","2038 Nicola Avenue, Merritt, BC",V1K 1L8,50.1119061,-120.7884356,"https://www.google.com/maps/search/?api=1&query=2038+Nicola+Avenue,+Merritt,+BC+V1K+1L8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=2038+Nicola+Avenue,+Merritt,+BC+V1K+1L8",https://www.nvshelterandsupport.com,Offers services to individuals and families in the Nicola Valley who are homeless or at risk of becoming homeless.,"Offers services to individuals and families in the Nicola Valley who are homeless or at risk of becoming homeless. Through the Housing First (Reaching Home COVID-19 Emergency Response) program, provides intensive case management and support to marginalized individuals with mental health and/or addiction issues who are chronically homeless or at risk of homelessness. The Endeavor to be Better program offers peer mentorship to support people experiencing challenges involving mental health and/or substance use. Office hours are 8 am to 4 pm Monday to Friday. Nonprofit society.",250-315-0155,N/A,nvsss@shaw.ca
North Shore Housing Centre - Shelter,Lookout Housing and Health Society,"705 West 2nd Street, North Vancouver, BC V7M 1E6","705 West 2nd Street, North Vancouver, BC",V7M 1E6,49.3187292,-123.09182168026797,"https://www.google.com/maps/search/?api=1&query=705+West+2nd+Street,+North+Vancouver,+BC+V7M+1E6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=705+West+2nd+Street,+North+Vancouver,+BC+V7M+1E6",https://www.lookoutsociety.ca,The North Shore Shelter is a short-term shelter with up to 45 beds for North Shore adults over 18 years of age who have no other housing options.,"The North Shore Shelter is a short-term shelter with up to 45 beds for North Shore adults over 18 years of age who have no other housing options. 24-hour staff address housing, financial, and mental/physical health and addiction issues through crisis intervention, case planning, and referral/liaison services. Meals are provided. Health-related services include 24-hour access to bed rest (doctor's note required), and administration of medication with prescription. Pets are welcome. Wheelchair accessible. Clients must call first or be referred. Also offers 25 co-located, transitional housing suites for those who are already regular habitants of the shelter; see separate listing for details. The Homeless Outreach Program provides advocacy support, referrals, and housing search assistance for people who are homeless, at risk of becoming homeless, or difficult to house. Serves Bowen Island, District of North Vancouver, City of North Vancouver, and District of West Vancouver. Staff also work collaboratively with other areas as applicable. Office hours are 9 am to 5 pm Monday to Friday. Wheelchair accessible. Funded by BC Housing.",604-982-9126,N/A,nsshelter@lookoutsociety.ca
North Shore Youth Safe House,Hollyburn Family Services,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://hollyburn-society.ca/youth-homelessness-life-success-wired-4-success-employment-north-shore/safe-house,"Short-term emergency housing and support services for up to four youth of all genders, ages 13 to 18, who may be homeless or needing a break from a stressful family situation (including unsafe and dangerous situations); stay is up to 14 days (which in some cases can be extended) with 24-hour staffing and an enforced housing curfew.","Short-term emergency housing and support services for up to four youth of all genders, ages 13 to 18, who may be homeless or needing a break from a stressful family situation (including unsafe and dangerous situations); stay is up to 14 days (which in some cases can be extended) with 24-hour staffing and an enforced housing curfew. Includes nutritious meals, shared rooms, showers, and laundry facilities. Services also include counselling, family mediation, information and referral, clothing, bus tickets for appointments, and help with income assistance, youth agreements, and educational opportunities. After-care support is also provided with the aim to help youth return to their home safely or to an alternate living environment. Accepts referral from self or other, though does not accept youth who are using drugs or alcohol, detoxing or have severe mental health issues; youth must be able to care for themselves and not be a risk to themselves or others. Not wheelchair accessible; cannot accommodate pets. Serves youth from the North Shore and Sea-to-Sky areas, and elsewhere if beds are available.",604-924-8005,1-877-78YOUTH (1-877-789-6884),nsysh@hollyburnsociety.ca
Northern Centre of Hope Emergency Shelter,The Salvation Army - BC Division,"9824 99th Avenue, Fort St John, BC V1J 5A5","9824 99th Avenue, Fort St John, BC",V1J 5A5,,,"https://www.google.com/maps/search/?api=1&query=9824+99th+Avenue,+Fort+St+John,+BC+V1J+5A5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=9824+99th+Avenue,+Fort+St+John,+BC+V1J+5A5",https://www.safsj.org,"A year-round, 24-hour emergency shelter with up to 30 beds for adults age 19 and older of any gender.","A year-round, 24-hour emergency shelter with up to 30 beds for adults age 19 and older of any gender. Services include three meals per day, laundry facilities, lockers, referrals, advocacy, and outreach. Maximum length of stay for beds is determined on a case-by-case basis. No alcohol or drug use or smoking allowed inside the building. Pets can be accommodated on a case-by-case situation. No storage of bikes or carts inside, but they can be locked to a bike shed outside. Wheelchair accessible. Funded by BC Housing.",250-785-0372,N/A,erin.ferris@salvationarmy.ca
Older Adults Shelter,Sparrow Community Care Society,"Central Heights Church, 1661 McCallum Rd,Abbotsford, BC V2S 3M4","1661 McCallum Rd,Abbotsford, BC",V2S 3M4,49.0332339,-122.293849,"https://www.google.com/maps/search/?api=1&query=Central+Heights+Church,+1661+McCallum+Rd,Abbotsford,+BC+V2S+3M4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Central+Heights+Church,+1661+McCallum+Rd,Abbotsford,+BC+V2S+3M4",N/A,Year-round emergency 18-bed shelter for older adults of any gender.,"Year-round emergency 18-bed shelter for older adults of any gender. Staffed 24 hours. No pets; not wheelchair accessible. No alcohol or drug use on site; accepts inebriated individuals on condition of respectful behaviour. Provides three meals per day, showers, access to laundry, and personal hygiene supplies. Must be able to use bathroom independently. Must manage own medication and bathing, or arrange for supports through home health. Provides rides for doctor appointments.",604-991-6937,N/A,N/A
Olive Branch Transitional Shelter,Surrey Urban Mission Society (SUMS),"10732 City Parkway, Surrey, BC V3T 4C7","10732 City Parkway, Surrey, BC",V3T 4C7,49.1977596,-122.84818162377294,"https://www.google.com/maps/search/?api=1&query=10732+City+Parkway,+Surrey,+BC+V3T+4C7","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=10732+City+Parkway,+Surrey,+BC+V3T+4C7",https://www.sumsplace.ca/shelters,Emergency shelter space for those transitioning into recovery or permanent housing includes 44 beds separated into three dorms with 36 beds for males and 9 beds for females.,"Emergency shelter space for those transitioning into recovery or permanent housing includes 44 beds separated into three dorms with 36 beds for males and 9 beds for females. Services include meals, laundry, and showers, and access to shelter support services, and overdose prevention site, and a Managed Alcohol Program (MAP). Pets are allowed. No storage space available for carts, bicycles, or belongings. Wheelchair accessible. Intake through Surrey Welcome Hub at 13545 King George Boulevard. Optimum time to call regarding availability of space is 8:30 am to 4:30 pm Monday to Friday.",604-585-0259,604-585-1023,info@sumsplace.ca
Our Place Community Center - Overnight Shelter,Our Place Society,"919 Pandora Avenue, Victoria, BC V8V 3P4","919 Pandora Avenue, Victoria, BC",V8V 3P4,48.4270173,-123.35765249803998,"https://www.google.com/maps/search/?api=1&query=919+Pandora+Avenue,+Victoria,+BC+V8V+3P4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=919+Pandora+Avenue,+Victoria,+BC+V8V+3P4",https://www.ourplacesociety.com/how-we-help/housing,"Overnight year-round shelter that can accommodate 34 adults, age 19 and older of any gender; operates from 7:30 pm to 6:20 am daily.","Overnight year-round shelter that can accommodate 34 adults, age 19 and older of any gender; operates from 7:30 pm to 6:20 am daily. For intake, call or sign up in person starting at 7 am for that night at the front desk. Clients must arrive no later than 8:30 pm to confirm that a space is available. After 8:30 pm available beds will be assigned on a first-come, first-served basis to individuals who are on the waitlist. Clients will have secure beds for the next night if they do not lapse in attendance. Sandwiches are available in the evening, and coffee and tea and snacks in the morning. No pets allowed. Wheelchair accessible.",250-388-7112 Local 1222,N/A,housingprogram@ourplacesociety.com
Out of the Rain Youth Shelter (OOTR),Beacon Community Services,"1450 Elford Street, Victoria, BC V8S 3S8","1450 Elford Street, Victoria, BC",V8S 3S8,48.4262956,-123.3416122,"https://www.google.com/maps/search/?api=1&query=1450+Elford+Street,+Victoria,+BC+V8S+3S8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1450+Elford+Street,+Victoria,+BC+V8S+3S8",https:// www.beaconcs.ca,"Year-round, low barrier emergency shelter providing 15 beds for homeless youth of all genders, ages 15 to 25.","Year-round, low barrier emergency shelter providing 15 beds for homeless youth of all genders, ages 15 to 25. Staff can provide information and community referrals to other support services. Hours are 8:30 pm to 7:30 am seven days a week, with an 2 am curfew. An evening meal and cold breakfast to go provided. Pets accepted, if well behaved. Wheelchair accessible.",250-415-3856,250-415-9469,outoftherain@beaconcs.ca
Parkway Shelter,Lookout Housing and Health Society,"10666 City Park Way, Surrey, BC V3T 4C7","10666 City Park Way, Surrey, BC",V3T 4C7,,,"https://www.google.com/maps/search/?api=1&query=10666+City+Park+Way,+Surrey,+BC+V3T+4C7","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=10666+City+Park+Way,+Surrey,+BC+V3T+4C7",N/A,"A low-barrier, shelter for homeless adults; 28 beds for men, and 12 mats for women.","A low-barrier, shelter for homeless adults; 28 beds for men, and 12 mats for women. Operates in conjunction with the The Front Room, a 24-hour drop-in resource centre. Provides laundry, showers, and meals. Pets are welcome. Wheelchair accessible. No shopping carts. Operated in partnership with and funded by BC Housing.",604-582-0408,N/A,parkway@lookoutsociety.ca
Pathways Emergency Shelter,Ruth and Naomi’s (RAN) Mission,"46130 Margaret Avenue, Chilliwack, BC V2P 6J4","46130 Margaret Avenue, Chilliwack, BC",V2P 6J4,49.1715464,-121.9456858,"https://www.google.com/maps/search/?api=1&query=46130+Margaret+Avenue,+Chilliwack,+BC+V2P+6J4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=46130+Margaret+Avenue,+Chilliwack,+BC+V2P+6J4",https://www.ranmission.ca ,Offers overnight emergency shelter on mats to 45 adults ages 19 and over.,"Offers overnight emergency shelter on mats to 45 adults ages 19 and over. Services include daily meals at 8 am, 12 noon, and 6 pm; clothing; access to showers and laundry; and referrals to community services. Offers an Opioid Prevention Service (OPS) in a room for people smoking or injecting hard drugs; the building is otherwise alcohol/drug free. Marijuana or tobacco cigarettes can be smoked in the outside smoking area. Check-in starts at 8:30 pm; mats are allocated on a first-come, first-serve basis. Shelter operates 24 hours, but guests are asked not to go in and out between 11:30 pm and 7:30 am. Locked storage space for bicycles is available. Wheelchair accessible. No pets allowed. Referrals accepted from self or other.",604-795-2322 Local 401,N/A,info@ruthandnaomis.ca
Pearl's Place Transition House,PearlSpace,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://pearlspace.ca/program/safe-housing-options,"Provides temporary emergency shelter for women, nonbinary, two-spirit, and transgender people with or without children, who are fleeing family violence or experiencing homelessness; will accept children up to age 18.","Provides temporary emergency shelter for women, nonbinary, two-spirit, and transgender people with or without children, who are fleeing family violence or experiencing homelessness; will accept children up to age 18. Operates a 24-hour crisis line. Provides crisis support, safety planning, and assisted access to financial assistance, housing, employment, and legal aid. May be able to accommodate a pet depending on space available. Wheelchair accessible. Serves the Sea to Sky corridor which includes Lion's Bay, Mount Currie, Squamish, and Whistler, Pemberton, and the Nations of N’Quatqua, Samahquam, Lil’wat, Skatin, Xa’xtsa, and Squamish. Funded by BC Housing.",604-892-5711,1-877-890-5711,pearlsplace@hswc.ca
Penny's Place (Emergency Shelter),SARA for Women,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.saraforwomen.ca/housing-shelter,"Low-barrier, first-stage housing program in Abbotsford for adult women (cis women) who may be active in substance use, experiencing mental health concerns, and/or be street engaged.","Low-barrier, first-stage housing program in Abbotsford for adult women (cis women) who may be active in substance use, experiencing mental health concerns, and/or be street engaged. Each resident shares a bedroom as well as shares common areas of the house. The house is staffed 24/7 with support workers. Meals and snacks are included daily. Personal care items, shower, laundry, advocacy, case planning, harm reduction supplies, internet and telephone are available on site. Women do not have to be alcohol- and drug-free to live in the house, although no drug use is allowed in the house or on the property. Does not accept children. Housing fee is the shelter allowance allocated by income assistance. Not wheelchair accessible. Also operates as an extreme weather response overnight shelter between November 1st and March 31st when weather is extreme and a community alert is called.",604-746-3301,236-668-2590,N/A
Pidcock House,The Salvation Army - BC Division,"632 Pidcock Avenue, Courtenay, BC V9N 3E3","632 Pidcock Avenue, Courtenay, BC",V9N 3E3,49.6858454,-125.0072478,"https://www.google.com/maps/search/?api=1&query=632+Pidcock+Avenue,+Courtenay,+BC+V9N+3E3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=632+Pidcock+Avenue,+Courtenay,+BC+V9N+3E3",https://www.salvationarmy.ca,"Low-barrier, emergency shelter for adults ages 19 and older of any gender offering 24 male beds and six female beds.","Low-barrier, emergency shelter for adults ages 19 and older of any gender offering 24 male beds and six female beds. Provides showers, laundry, meals, and referral to other services in the community. Accommodates pets. Not wheelchair accessible. Provides locked space for bikes and carts, and personal effects can be stored in closets. No maximum stay when residents are working with a case manager. Also offers six transition units to support three men and three women in need as they search for stable housing. Shelter operates 24 hours a day, seven days a week; curfew is 10 pm daily. Funded by BC Housing.",250-338-2533,N/A,N/A
Port Alberni Friendship Center Shelter,Port Alberni Friendship Center,"Main Floor, 3939 8th Avenue, Port Alberni, BC V9Y 0C6","3939 8th Avenue, Port Alberni, BC",V9Y 0C6,49.2422921,-124.8006102,"https://www.google.com/maps/search/?api=1&query=Main+Floor,+3939+8th+Avenue,+Port+Alberni,+BC+V9Y+0C6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Main+Floor,+3939+8th+Avenue,+Port+Alberni,+BC+V9Y+0C6",N/A,Emergency shelter with 35 beds for males and females age 19 and over of any gender.,"Emergency shelter with 35 beds for males and females age 19 and over of any gender. Shelter operates 24 hours a day, and offers meals, shower, and laundry facilities. Intake is between 4 pm to 5 pm daily; can reserve a bed for the following night. Individuals from out of town can be accommodated if there is space available. Pets are accommodated on a case-by-case basis. Wheelchair accessible. Funded by BC Housing.",250-723-8281 Local 224,N/A,shelter@pafriendshipcenter.com
Powell Place Emergency Shelter for Women,The Bloom Group,"329 Powell Street, Vancouver, BC V6A 1G5","329 Powell Street, Vancouver, BC",V6A 1G5,49.28340195,-123.09715476064892,"https://www.google.com/maps/search/?api=1&query=329+Powell+Street,+Vancouver,+BC+V6A+1G5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=329+Powell+Street,+Vancouver,+BC+V6A+1G5",https://www.thebloomgroup.org/powellplace,"Provides year-round low-barrier, 24-hour emergency shelter for 52 self-identified women experiencing, or at risk of homelessness.","Provides year-round low-barrier, 24-hour emergency shelter for 52 self-identified women experiencing, or at risk of homelessness. Women are supported in retaining their autonomy, regaining their independence, and building skills to move forward in life. Services include three meals per day, one-on-one support and advocacy, crisis intervention, referrals, housing search assistance, and accompaniment to appointments. Referral accepted from self or other. Does not accept pets. Not wheelchair accessible.",604-813-1227,604-606-0351,powellplace@thebloomgroup.org
Progressive Housing Society Emergency Shelter,Progressive Housing Society,"2294 Douglas Road, Burnaby, BC V5C 5A7","2294 Douglas Road, Burnaby, BC",V5C 5A7,49.2636704,-122.9886259,"https://www.google.com/maps/search/?api=1&query=2294+Douglas+Road,+Burnaby,+BC+V5C+5A7","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=2294+Douglas+Road,+Burnaby,+BC+V5C+5A7",https://www.progressivehousing.net/service/emergency-shelter,"24-hour, year-round shelter provides 40 emergency shelter beds for homeless adults, with priority given to Burnaby residents.","24-hour, year-round shelter provides 40 emergency shelter beds for homeless adults, with priority given to Burnaby residents. Accepts all genders; accommodation in male and female dorms. Intake is between 10 am and 10 pm on a first-come, first-served basis. Services include two daily meals and connection to counselling, health, and permanent long-term housing. Small storage lockers are available. Pets are accepted. Not wheelchair accessible. Funded by City of Burnaby and by BC Housing.",604-522-9669 Local 2,N/A,info@progressivehousing.net
Reconnect Youth Village,Prince George Native Friendship Centre (PGNFC),"171 George Street, Prince George, BC V2L 1P8","171 George Street, Prince George, BC",V2L 1P8,53.91726661111111,-122.74194247777778,"https://www.google.com/maps/search/?api=1&query=171+George+Street,+Prince+George,+BC+V2L+1P8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=171+George+Street,+Prince+George,+BC+V2L+1P8",https://www.pgnfc.com,"Provides six temporary emergency beds for youth who have no safe place to stay, as well as daily programming and outreach services to Aboriginal and non-Aboriginal youth up to age 19; open to all genders.","Provides six temporary emergency beds for youth who have no safe place to stay, as well as daily programming and outreach services to Aboriginal and non-Aboriginal youth up to age 19; open to all genders. A 24-hour drop-in centre is available onsite with meals and other support services, including positive role modeling and programs that promote wellness, self-esteem, communication, life skills, employment, and interpersonal skills. Also offers recreational activities. Outreach workers assist youth in meeting their short-term/long-term needs, refer to community resources, provide advocacy support, and empower youth to make healthy decisions. All programs are offered in a culturally holistic environment with the support of Elders. Centre is not wheelchair accessible.",250-562-2538,N/A,reconnect@pgnfc.com
